,parameter,PLZ
PLZ[60311],542.0607902735562,60311
PLZ[60313],561.9025423728814,60313
PLZ[60314],532.2692307692305,60314
PLZ[60316],530.8380062305295,60316
PLZ[60318],541.9814814814813,60318
PLZ[60320],481.7627118644069,60320
PLZ[60322],544.7674858223061,60322
PLZ[60323],495.7285318559556,60323
PLZ[60325],564.9361702127659,60325
PLZ[60326],501.70919881305633,60326
PLZ[60327],482.38356164383623,60327
PLZ[60329],550.6363636363634,60329
PLZ[60385],517.1212553495008,60385
PLZ[60386],438.8193548387096,60386
PLZ[60388],457.7676767676768,60388
PLZ[60389],505.55313351498626,60389
PLZ[60431],467.1949860724234,60431
PLZ[60433],467.20266666666663,60433
PLZ[60435],428.2058823529412,60435
PLZ[60437],377.7710843373494,60437
PLZ[60438],500.3076923076922,60438
PLZ[60439],455.74999999999983,60439
PLZ[60486],502.19225449515915,60486
PLZ[60487],465.1188925081435,60487
PLZ[60488],404.14035087719304,60488
PLZ[60489],466.51898734177206,60489
PLZ[60528],466.54844961240326,60528
PLZ[60529],460.72222222222234,60529
PLZ[60594],544.9600000000003,60594
PLZ[60596],548.5179640718562,60596
PLZ[60598],522.0151515151517,60598
PLZ[60599],496.2708860759494,60599
PLZ[61118],425.17857142857133,61118
PLZ[61440],440.5714285714285,61440
PLZ[63065],453.70000000000005,63065
PLZ[63067],472.8064516129032,63067
PLZ[63069],441.38461538461536,63069
PLZ[63263],433.04999999999995,63263
PLZ[63477],374.15384615384613,63477
PLZ[64546],428.7499999999999,64546
PLZ[65428],386.99999999999994,65428
PLZ[65451],432.6481481481482,65451
PLZ[65479],394.56976744186045,65479
PLZ[65760],516.5806451612902,65760
PLZ[65929],435.44827586206895,65929
PLZ[65931],456.5507246376741,65931
PLZ[65933],444.88294314381284,65933
PLZ[65934],446.009708737864,65934
PLZ[65936],455.2499999999999,65936
PLZ[99999],461.92950391644916,99999
