Stadtteil;plz
Altstadt;60311
Altstadt;60313
Bahnhofsviertel;60329
Bergen-Enkheim;60388
Bergen-Enkheim;60389
Berkersheim;60435
Bockenheim;60325
Bockenheim;60431
Bockenheim;60486
Bockenheim;60487
Bonames;60433
Bonames;60437
Bornheim;60385
Bornheim;60386
Bornheim;60389
Bornheim;60435
Dornbusch;60320
Dornbusch;60322
Dornbusch;60431
Dornbusch;60433
Dornbusch;60435
Eckenheim;60320
Eckenheim;60435
Eschersheim;60431
Eschersheim;60433
Fechenheim;60314
Fechenheim;60386
Flughafen;60549
FrankfurterBerg;60433
Gallus;60325
Gallus;60326
Gallus;60327
Gallus;60329
Gallus;60486
Ginnheim;60431
Griesheim;60326
Griesheim;65933
Gutleutviertel;60327
Gutleutviertel;60329
Harheim;60437
Hausen;60487
Hausen;60488
Heddernheim;60439
Höchst;65929
Höchst;65934
Innenstadt;60310
Innenstadt;60311
Innenstadt;60312
Innenstadt;60313
Innenstadt;60318
Innenstadt;60322
Innenstadt;60329
Kalbach-Riedberg;60437
Kalbach-Riedberg;60438
Kalbach-Riedberg;60439
Nied;65934
Nied;65936
Nieder-Erlenbach;60437
Nieder-Eschbach;60437
Niederrad;60528
Niederursel;60437
Niederursel;60439
Nordend-Ost;60316
Nordend-Ost;60318
Nordend-Ost;60385
Nordend-Ost;60389
Nordend-West;60316
Nordend-West;60318
Nordend-West;60320
Nordend-West;60322
Nordend-West;60389
Nordend-West;60435
Oberrad;60599
Ostend;60314
Ostend;60316
Ostend;60385
Praunheim;60431
Praunheim;60439
Praunheim;60488
Preungesheim;60433
Preungesheim;60435
Riederwald;60386
Rödelheim;60486
Rödelheim;60487
Rödelheim;60488
Rödelheim;60489
Sachsenhausen-Nord;60528
Sachsenhausen-Nord;60594
Sachsenhausen-Nord;60596
Sachsenhausen-Nord;60598
Sachsenhausen-Nord;60599
Sachsenhausen-Süd;60528
Sachsenhausen-Süd;60598
Sachsenhausen-Süd;60599
Schwanheim;60528
Schwanheim;60529
Seckbach;60386
Seckbach;60388
Seckbach;60389
Sindlingen;65931
Sossenheim;65936
Unterliederbach;65929
Westend-Nord;60320
Westend-Nord;60322
Westend-Nord;60323
Westend-Nord;60431
Westend-Süd;60306
Westend-Süd;60308
Westend-Süd;60320
Westend-Süd;60322
Westend-Süd;60323
Westend-Süd;60325
Westend-Süd;60327
Westend-Süd;60486
Westend-Süd;60487
Zeilsheim;65931
