,gesamtmiete,pred
8304,660.0,648.2
4782,510.0,515.6
9250,322.0,376.6
6532,550.0,494.6
2465,600.0,614.4
8947,600.0,532.8
3327,650.0,567.6
13352,500.0,492.9
13248,500.0,487.7
3854,562.0,538.8
13718,240.0,350.3
12617,450.0,478.6
9356,360.0,529.1
5887,420.0,459.5
14022,400.0,623.1
10864,350.0,313.5
7423,380.0,454.7
4114,470.0,475.1
13398,690.0,499.6
4654,275.0,525.4
257,565.0,501.5
9044,500.0,470.2
7537,400.0,468.5
9469,500.0,498.2
13532,500.0,520.4
11091,450.0,453.8
3543,515.0,550.8
9420,800.0,547.7
6274,510.0,523.5
11203,446.0,503.6
1978,600.0,629.9
12599,548.0,518.7
7632,450.0,399.3
12203,780.0,606.8
13806,270.0,293.8
4193,432.0,448.5
13139,475.0,450.8
6440,279.0,295.7
7902,250.0,303.1
7979,480.0,393.2
5938,450.0,452.9
3904,445.0,406.7
11199,455.0,477.3
13536,450.0,443.2
4098,520.0,526.3
4925,465.0,477.2
13797,580.0,555.6
599,400.0,424.9
8167,490.0,590.2
6913,390.0,540.6
260,450.0,430.3
5715,600.0,559.6
7706,450.0,526.6
1739,440.0,450.3
9660,400.0,439.0
1388,435.0,531.4
10254,200.0,315.7
8481,350.0,361.1
8478,475.0,608.9
13292,480.0,499.8
13734,380.0,417.1
4072,550.0,476.3
5648,430.0,397.3
1391,440.0,444.2
1111,498.0,492.5
12224,500.0,493.0
9338,650.0,626.4
12550,500.0,425.5
1716,396.0,423.3
6510,350.0,397.3
5936,750.0,524.9
8107,750.0,547.6
8022,530.0,521.0
14415,463.0,521.3
7893,320.0,370.6
2072,750.0,638.1
14134,417.0,585.8
3126,410.0,360.5
8308,400.0,384.6
10636,450.0,438.4
6939,550.0,489.2
2781,365.0,392.1
7224,580.0,588.8
6320,483.0,460.6
3547,432.0,440.7
438,360.0,277.7
14235,380.0,463.8
7947,240.0,274.3
9437,490.0,480.0
4462,590.0,595.7
7505,380.0,427.2
11707,485.0,481.6
14396,470.0,508.8
12766,650.0,536.2
5888,500.0,524.0
9565,475.0,449.8
8080,660.0,645.5
4288,545.0,455.7
9535,450.0,402.1
9497,460.0,488.2
4739,390.0,457.6
66,610.0,486.1
4902,450.0,499.4
618,750.0,603.2
7203,205.0,361.1
13161,300.0,457.0
12187,545.0,429.8
803,460.0,584.3
9575,460.0,486.3
4058,510.0,570.2
3976,540.0,461.5
7914,540.0,487.8
4865,660.0,569.6
13992,380.0,370.0
10244,280.0,313.9
13648,570.0,556.6
4653,688.0,624.8
8800,470.0,501.7
5075,420.0,448.3
798,364.0,377.5
4876,450.0,437.0
7780,400.0,441.7
14436,590.0,518.4
11265,412.0,505.4
6844,535.0,570.6
8882,600.0,488.3
5827,520.0,450.6
13610,550.0,509.2
5317,450.0,516.1
8673,390.0,393.4
13555,430.0,408.9
8743,488.0,460.7
650,441.0,493.6
1161,350.0,386.2
12076,450.0,523.7
8600,350.0,491.6
6397,265.0,285.6
6456,375.0,398.9
3119,650.0,533.6
11404,680.0,535.3
10429,350.0,353.8
6751,580.0,492.5
1403,627.0,510.5
3829,470.0,502.4
12530,245.0,262.6
12162,450.0,470.7
12548,256.0,382.0
9355,680.0,633.1
8553,360.0,393.9
1781,850.0,550.6
12042,668.0,645.3
9138,408.0,458.2
12108,450.0,607.4
13624,440.0,501.8
4475,650.0,558.1
10710,850.0,594.4
921,450.0,463.5
5455,500.0,489.8
464,650.0,639.6
3168,420.0,440.4
11359,605.0,501.3
4129,385.0,384.2
8994,530.0,462.0
12501,370.0,403.8
8925,500.0,472.4
1101,490.0,480.7
11599,484.0,492.1
6446,442.0,359.0
4115,520.0,516.3
4981,410.0,466.6
3263,400.0,416.2
26,570.0,488.2
2566,650.0,384.5
13947,500.0,422.0
14214,520.0,552.2
11329,500.0,518.6
4644,620.0,509.8
12938,465.0,534.5
4814,495.0,447.9
1602,535.0,509.3
8368,418.0,372.5
4070,208.0,385.2
4776,495.0,499.8
2396,500.0,523.5
2339,690.0,685.5
586,375.0,340.3
3349,370.0,527.1
4893,580.0,604.4
1923,600.0,551.9
11610,550.0,509.8
10856,540.0,376.0
11651,320.0,509.8
5059,500.0,500.5
10668,800.0,574.1
9515,450.0,473.9
13143,468.0,410.2
8187,345.0,429.5
7312,600.0,519.5
13720,390.0,471.5
10773,380.0,422.2
11841,590.0,536.1
1501,400.0,495.9
3266,400.0,467.3
13351,720.0,676.4
10334,665.0,544.8
5901,450.0,430.8
12657,600.0,478.7
2785,550.0,512.0
3555,600.0,589.8
3841,730.0,584.4
6543,550.0,519.5
11485,690.0,585.0
11317,550.0,496.9
840,600.0,534.1
10355,550.0,413.8
12654,750.0,526.0
14420,590.0,570.2
4087,520.0,520.4
8556,375.0,440.6
8960,680.0,658.5
4542,500.0,608.5
6611,450.0,431.3
3293,590.0,532.5
7194,312.0,455.4
11090,500.0,447.1
3179,325.0,330.7
11771,550.0,510.5
144,830.0,648.5
73,400.0,424.1
10943,570.0,587.1
8840,400.0,469.0
12608,650.0,560.6
11234,425.0,485.7
14093,580.0,543.2
12836,500.0,466.1
9224,550.0,599.6
9225,425.0,496.7
198,360.0,579.3
5430,396.0,473.4
9362,340.0,396.1
11075,550.0,524.6
10403,450.0,430.8
8062,460.0,395.0
7349,350.0,440.2
9389,516.0,464.9
9715,487.0,564.9
5274,400.0,545.5
12594,490.0,468.9
6431,260.0,310.8
11807,590.0,564.7
631,430.0,330.0
9414,527.0,482.4
2780,450.0,490.4
10738,360.0,357.9
1845,530.0,397.6
11043,215.0,244.5
11402,420.0,431.5
